Pos,Clube,V,E,D,SG,Pts,gol_pro,gol_con,gol_pro_pj,gol_con_pj,aprov,gol_pro/med,gol_con/med,campeão,rebaixou,Liberta
7,Grêmio FBPA,8,4,7,-2,28,18,20,0.9470,1.0530,0.4912,0.6704,0.7449,0,0,1
8,Santos FC,8,3,8,1,27,27,26,1.4210,1.3680,0.4737,1.0056,0.9683,0,0,1
9,SC Internacional,8,3,8,1,27,26,25,1.3680,1.3160,0.4737,0.9683,0.9311,0,0,0
10,Sport Recife,8,3,8,-1,27,33,34,1.7370,1.7890,0.4737,1.2291,1.2663,0,0,0
11,CR Flamengo,7,6,6,0,27,30,30,1.5790,1.5790,0.4737,1.1173,1.1173,0,0,1
12,Fluminense FC,6,8,5,6,26,21,15,1.1050,0.7890,0.4561,0.7821,0.5587,0,0,1
13,SC Corinthians,6,8,5,-2,26,22,24,1.1580,1.2630,0.4561,0.8194,0.8939,0,1,0
14,Atlético Mineiro,7,4,8,1,25,29,28,1.5260,1.4740,0.4386,1.0801,1.0428,0,0,0
15,Paraná Clube,6,6,7,-2,24,21,23,1.1050,1.2110,0.4211,0.7821,0.8566,0,1,0
16,Figueirense FC,6,6,7,-4,24,28,32,1.4740,1.6840,0.4211,1.0428,1.1918,0,0,0
17,Clube Atlético Paranaense,5,7,7,1,22,29,28,1.5260,1.4740,0.3860,1.0801,1.0428,0,0,0
18,Náutico,5,5,9,-6,20,28,34,1.4740,1.7890,0.3509,1.0428,1.2663,0,0,0
19,EC Juventude,4,4,11,-16,16,19,35,1.0000,1.8420,0.2807,0.7076,1.3035,0,1,0
20,América FC (RN),3,1,15,-26,10,16,42,0.8420,2.2110,0.1754,0.5959,1.5642,0,1,0
1,Grêmio FBPA,12,5,2,23,41,35,12,1.8420,0.6320,0.7193,1.3487,0.4624,0,0,1
2,Cruzeiro EC,11,3,5,13,36,32,19,1.6840,1.0000,0.6316,1.2331,0.7322,0,0,1
3,SE Palmeiras,10,4,5,11,34,32,21,1.6840,1.1050,0.5965,1.2331,0.8092,0,0,1
4,São Paulo FC,9,6,4,12,33,33,21,1.7370,1.1050,0.5789,1.2717,0.8092,1,0,1
5,EC Vitória,10,2,7,9,32,30,21,1.5790,1.1050,0.5614,1.1561,0.8092,0,0,0
6,Coritiba FC,9,5,5,10,32,29,19,1.5260,1.0000,0.5614,1.1175,0.7322,0,0,0
7,CR Flamengo,9,4,6,11,31,30,19,1.5790,1.0000,0.5439,1.1561,0.7322,0,0,1
8,Botafogo FR,9,4,6,10,31,29,19,1.5260,1.0000,0.5439,1.1175,0.7322,0,0,0
9,Sport Recife,8,3,8,-3,27,21,24,1.1050,1.2630,0.4737,0.8092,0.9249,0,0,0
10,SC Internacional,7,5,7,1,26,21,20,1.1050,1.0530,0.4561,0.8092,0.7707,0,0,1
11,Figueirense FC,6,7,6,-11,25,24,35,1.2630,1.8420,0.4386,0.9249,1.3487,0,1,0
12,Atlético Mineiro,6,6,7,-12,24,25,37,1.3160,1.9470,0.4211,0.9634,1.4258,0,0,0
13,Goiás EC,6,5,8,-5,23,23,28,1.2110,1.4740,0.4035,0.8863,1.0790,0,0,0
14,Associação Portuguesa de Desportos (SP),6,4,9,-13,22,26,39,1.3680,2.0530,0.3860,1.0019,1.5029,0,1,0
15,Náutico,6,3,10,-9,21,20,29,1.0530,1.5260,0.3684,0.7707,1.1175,0,0,0
16,Clube Atlético Paranaense,5,5,9,-4,20,17,21,0.8950,1.1050,0.3509,0.6551,0.8092,0,0,0
17,CR Vasco da Gama,5,4,10,-9,19,30,39,1.5790,2.0530,0.3333,1.1561,1.5029,0,1,0
18,Santos FC,4,5,10,-12,17,21,33,1.1050,1.7370,0.2982,0.8092,1.2717,0,0,0
19,Fluminense FC,4,4,11,-8,16,21,29,1.1050,1.5260,0.2807,0.8092,1.1175,0,0,0
20,Ipatinga Futebol Clube (MG),4,4,11,-14,16,20,34,1.0530,1.7890,0.2807,0.7707,1.3102,0,1,0
1,SC Internacional,11,4,4,14,37,37,23,1.9470,1.2110,0.6491,1.3309,0.8273,0,0,1
2,SE Palmeiras,10,7,2,14,37,31,17,1.6320,0.8950,0.6491,1.1151,0.6115,0,0,1
3,Goiás EC,10,5,4,11,35,37,26,1.9470,1.3680,0.6140,1.3309,0.9353,0,0,0
4,São Paulo FC,9,6,4,7,33,28,21,1.4740,1.1050,0.5789,1.0072,0.7554,0,0,1
5,Atlético Mineiro,9,5,5,7,32,32,25,1.6840,1.3160,0.5614,1.1511,0.8993,0,0,0
6,Avaí FC,8,6,5,6,30,28,22,1.4740,1.1580,0.5263,1.0072,0.7914,0,0,1
7,Grêmio FBPA,8,4,7,11,28,33,22,1.7370,1.1580,0.4912,1.1871,0.7914,0,0,0
8,SC Corinthians,8,4,7,0,28,23,23,1.2110,1.2110,0.4912,0.8273,0.8273,0,0,0
9,Grêmio Prudente Futebol Ltda,7,7,5,10,28,38,28,2.0000,1.4740,0.4912,1.3669,1.0072,0,0,0
10,CR Flamengo,7,6,6,-3,27,28,31,1.4740,1.6320,0.4737,1.0072,1.1151,1,0,1
11,Santos FC,6,8,5,0,26,34,34,1.7890,1.7890,0.4561,1.2230,1.2230,0,0,0
